sentiment_category,gmap_id,user_name,spam_label,business_name,user_id,time,rating
positive,0x56c8bd83e94e1065:0x48c7d585fc4ee59d,Nina Anderson,0,Coastal Trail - Elderberry Park,110216274509910123434,1564293289510.0,5.0
positive,0x56c8965ea5cfc777:0xf4e6f66b783ae126,Logan Schoessler,0,Denny's,115484818848693096845,1543659660370.0,5.0
positive,0x56c79c639832c53b:0x4123a41983279b53,Ash Ketchum,0,The Highliner Restaurant,102964972987971039501,1541918331819.0,5.0
negative,0x56c6615da609b9fd:0xa21dfbf242fa4aa8,Debra Holloway,0,St. Elias Brewing,108826829046891812610,1565021091566.0,1.0
positive,0x56c899daa45e7173:0x6d4db6b6559351e0,Vicente Glez,0,O'Reilly Auto Parts,112379766848575728631,1536894888327.0,5.0
positive,0x56c8eb75763e06c5:0x513b63e443562949,Sleepless _,0,Splashes Autospa,110772021803680390748,1592649449461.0,5.0
positive,0x540c25042cc53e11:0x8f365e1d3ad2ad16,Tom Pavillard,0,Totem Bar,106778236201515817607,1582655216796.0,5.0
positive,0x56c896392d1183e9:0x364d73cf207e71d8,broose1029,0,"Castle Megastore - Anchorage, AK",108808835198125070808,1470357296948.0,5.0
positive,0x56c899d74580253b:0x17b9641c90fd4fd5,Rachel Hall,0,Sushi Ya,104884788950984756224,1566098460807.0,5.0
positive,0x56c8979448eea4d3:0x749602a93dabc7a0,Janet Phillips,0,Homewood Suites by Hilton Anchorage,113142315534812341652,1495758667233.0,5.0
positive,0x56c89638260d79cd:0x2cbba47311b00337,Kim Hubert,0,"Northern Lights Avionics, Inc.",107612208189233122106,1535119876536.0,5.0
positive,0x56c897fddb55dedd:0x3c35f71af5e13a4f,Scott Morrison,0,The Lakefront Anchorage,110419390502475627249,1615515590680.0,5.0
positive,0x513244ccc6ae4033:0x4ed61724b12e078a,Orbitz reviewer,0,Sophie Station Suites,unknown,1536278400000.0,-999.0
positive,0x56c89427df8203bf:0x6d581c14c5983b4,JL Tosland,0,PetSmart,105243534153728434806,1578151460955.0,4.0
positive,0x56c79b8997aa1ab7:0xf2b3978306110f68,GUAIL,0,Kenai Fjords Tours Private Parking,114143013513928995574,1579594699162.0,5.0
positive,0x56c897b5360dc8ff:0xf9a59a341d4843c8,Izzy nut tree,0,Bear Paw Bar & Grill,116663973843912581417,1593317002501.0,5.0
negative,0x56c8bd7fd9066f37:0x796151f56a011592,Jared Miller,0,Inlet Tower Hotel & Suites,103273257451900775607,1577907288034.0,2.0
positive,0x56c6633de17115f1:0x3463602c64eafd7b,Tanya Wychopen,0,Diamond M Ranch Resort,107501318268760482569,1506028340225.0,5.0
positive,0x51325b720652fe6d:0xb549c85f1b4a257b,Yanni c,0,The Pump House Restaurant Fairbanks,115310264985333584235,1534657627891.0,5.0
positive,0x56c899d8e705dbcf:0xadaf25836851f355,Mike Forsythe,0,Long Branch Saloon,102257094998346878365,1494642562158.0,5.0
positive,0x56c8e08581e73d0b:0xbad43da08901fe1b,Preston Hoff,0,Fix Auto Valley,103645321067631522862,1513467772869.0,5.0
positive,0x56c8962b6c3e0975:0xd112623c0990daf1,Marc Quesenberry,0,Alaska Outdoor Gear Rental,109420663415187666520,1550700133323.0,5.0
neutral,0x56c797c6728ec80b:0xc88fcdce73746e04,Tommye Girl,0,Rest Area,112792763106491989347,1540151946161.0,3.0
positive,0x56c897ce4bf1bb8b:0x2e4f67e562e58f0d,Shane Mecham,0,Kriner's Diner,113920727864982256434,1499129987317.0,4.0
positive,0x56c897c82598d177:0x455b91ccc97988fb,David Arieno,0,Midtown Mall,102316754694839376780,1539748085076.0,4.0
positive,0x513245417c541417:0x8b502c2a77c06ede,Lorelei Minear,0,Pro Nails,108686507961899231662,1559278720059.0,5.0
positive,0x56c8a2b56b971a11:0x96b75a34a7bd6faf,Robert Angasan,0,Ted Stevens Anchorage International Airport,116124559162102597957,1602980303598.0,4.0
positive,0x56c897dedc60bdef:0x854913816bbef118,dennis elstad,0,Carrs,109002291156018727981,1497239575965.0,5.0
neutral,0x56c12d8b29ac4fbb:0x9cd4948175d1749,Dwight Simpson,0,Safeway,112438279039942991241,1481932578552.0,3.0
positive,0x56c899d1745596c1:0xaf3fae363478d70e,Jacob Hanchett,0,Olive Garden Italian Restaurant,110811390806541420676,1562817019086.0,4.0
positive,0x56c8bd83e94e1065:0x48c7d585fc4ee59d,Ramona Batchelder,0,Coastal Trail - Elderberry Park,102923828327603956394,1568151275725.0,5.0
positive,0x56c8969fca3d0091:0xf6c979a4051c8c6b,Elizabeth H.,0,Cabin Tavern,110414314206331787956,1544523410108.0,5.0
positive,0x56c897db081cfb1f:0x60b4066cb41da7e,James Mcedwards II,0,Bicycle Shop,112801375248495109267,1592147394541.0,5.0
positive,0x51324d5ae9b8ec05:0x534489ce6c90d60f,Sarah Jeppsen,0,Country Cafe,104447112981062168586,1499007616179.0,5.0
positive,0x56c899ddd94eb601:0x38569ed03628d785,B D,0,Lahn Pad Thai,101347018670533317728,1567280247521.0,5.0
positive,0x56c8942639bddcf1:0x3d4151966bed9375,Mackenzie Odom,0,Tikahtnu Commons,100168970492188848437,1507680261185.0,5.0
positive,0x5132456f402e2141:0x34d2d050b4cc69ed,Timothy Hall,0,Seekins Ford Lincoln,110656593398151307333,1549435461318.0,5.0
positive,0x56c899d13ef24d4d:0xb7380ea882017fdf,Jason Mata,0,AutoZone Auto Parts,103665792488024691181,1613536345162.0,4.0
neutral,0x56aa961b45040d6b:0xf192c63fdd7fdec0,YT12ish,0,Thirty-Three Mile Roadhouse,104643300648999188580,1562428561390.0,3.0
positive,0x56c897777e921773:0xc418f72f3a278b5e,Sila Chadwick,0,First Choice Auto Auction And Sales,117041583441401025616,1579366003887.0,5.0
positive,0x56c897c537dd56e1:0xc47df56eef7b4891,George Shoogukuwrk,0,Bombay Deluxe Indian Restaurant,107002774569626584874,1543628659550.0,4.0
positive,0x56c8a2b56b971a11:0x96b75a34a7bd6faf,Jim Avery,0,Ted Stevens Anchorage International Airport,115157853514531420103,1472508415953.0,5.0
neutral,0x56c89687dd0842e3:0x7e2bf7775473b847,Kevin-n-Cynthia Johnson,0,Hong Kong Restaurant,107075985573488245452,1484335950158.0,3.0
negative,0x57abb733ccef6991:0xbe16e48cb26abc5,Michael Miller,0,Grand Aleutian Hotel,104188871329584156853,1568008078895.0,2.0
neutral,0x56c8974dd00cf211:0x4ec43943b42f6df,Margaret L Wiltfong Tovrea,0,Barnes & Noble Cafe,101825071686173226077,1612047718566.0,3.0
positive,0x56c897a6e2c42a19:0x93d3a685927702a4,J Lmm,0,Golden Donuts,107578658241141999987,1497465498674.0,5.0
positive,0x56c8964289975d13:0xfc5b63dab30b7a90,Stephanie Diaz,0,"Planet Fitness - Anchorage (Northway), AK",105601610431973499569,1344302326253.0,5.0
positive,0x56c8979b99ba274b:0xf313bf87522863d4,Senshi,0,Safelite AutoGlass,101520501121365446681,1555868299262.0,5.0
positive,0x51324548f376a9dd:0x701e5aabd504b5ac,savageLlama982,0,Ebony & Ivory Gifts & Art,104276815060686275588,1588553746552.0,5.0
positive,0x56c8969f6debde89:0xa375cb8de092bf90,Michael Kage,0,Muldoon Pizza,116598196663643050343,1471404529801.0,5.0
positive,0x56c8eb88759e040b:0xd5dd95f235b8847e,Stephen Cutshall,0,Mt. Baldy Trailhead,111087019637293101170,1534414515902.0,4.0
negative,0x56c899bfd72bc6c7:0x3ca4689b8f6ae3a3,Jerry Gleason,0,IHOP,115932280736301586674,1509065330246.0,1.0
positive,0x56c897dbce1be4e9:0x84b85ce872217614,Shado2us,0,Jackie's Place Restaurant,114997239936158987310,1600151950618.0,5.0
positive,0x54011e2056df2c8f:0x4de9590954e88325,Tylyn D. (Hazeyhippie),0,Nugget Mall,109450509225089613667,1468914174261.0,4.0
neutral,0x56c89a04f821661f:0xa18c6267f53e05ea,Nyah Taylor,0,Alaska Zoo,107109455910098157112,1601247151803.0,3.0
positive,0x56b6469260e96227:0x42c3dc53eb2a0a18,Paulness,0,Captain Joe's Gas,114232656552432314747,1595717456361.0,4.0
positive,0x56ccd8af25a5d46b:0x8ea9a956e6139e73,Lynda Goldberg,0,Denali Princess Wilderness Lodge,117959784799571486384,1579299825110.0,5.0
positive,0x56c8968d3c945571:0x2e20c2b429a7f830,Terry J Thompson,0,Eastgate Shopping Center,104047958102680939380,1509396440247.0,4.0
negative,0x56c8962f1560f171:0x450b3e020f240cc7,steveg,0,Sheraton Anchorage Hotel & Spa,unknown,1342915200000.0,-999.0
positive,0x56c897c004c835bb:0x8294a62ad039cf93,Ariel Rogers,0,Sea Galley Restaurant,105603237795996396065,1347143892743.0,4.0
positive,0x56cdf3ff88d01605:0xc6b53b15131936a5,Mike,0,Denali National Park and Preserve,108631590223094117392,1570023114073.0,5.0
positive,0x56c12d8a11bd0a0f:0x49b929b96aa25a88,Donald Bluy,0,Alibi Bar & Cafe,113319212644401454548,1482299111539.0,4.0
positive,0x56c8bd81340d45a1:0x2969ffc6bde5a4f,Shawn Frost,0,Hotel Captain Cook,110682462676916190923,1540883068270.0,5.0
positive,0x56c89869bfea62e3:0x888758ca17147ba2,Varidysi'is Amethyst,0,Taco Bell,106215697069363158241,1590054267481.0,4.0
neutral,0x56c89687fb0a61a3:0x866953fadc130262,yvette conides,0,That Wing Place,112977042147184037427,1558468450589.0,3.0
positive,0x56c8962549f27a1f:0x9270c1feb5df7fa7,austin garcia,0,Payless Car Sales,100869619353671490450,1509229528649.0,5.0
positive,0x56ccf048ba932f63:0x44686823b457a9aa,RC BoiZ,0,JP's Coffee House,103409794183010452512,1537673587303.0,5.0
positive,0x56c897df3d1b6ce1:0x936f0ca39ad629cb,Sumar Lindfors,0,Dempsey-Anderson Ice Arena,101499354077326924847,1560875830405.0,4.0
positive,0x5400e0466d38efb9:0x140dc30177d6c675,Susan Jennings,0,El Zarape,111661487646635059628,1619314701406.0,4.0
positive,0x58483ec0ee503b47:0x3e241e18f518c2fd,pajang barang,0,Attu Island,102824140636434246215,1490615852902.0,5.0
positive,0x513245438b6a10d1:0x57f5b64b815358d1,J.Kraig Smyth,0,JOANN Fabrics and Crafts,117916338806204522881,1539924129404.0,5.0
positive,0x56c8e0a348e98bb5:0xc4835d070f820318,Melissa Knight,0,The Valley Cinema,115319286572118169653,1580362354676.0,5.0
positive,0x56c79c630608aa09:0x12143ced272edc64,Michelle Miller,0,Kenai Fjords National Park,107903269661078485341,1507037940856.0,5.0
negative,0x56c899d058920487:0x9ba161c17ebc169d,Shelly Elena,0,BOSCO'S 2,101857477898188995241,1542866652361.0,1.0
positive,0x56c921bde34bced1:0x9d1cb63d7b4841bc,Nicci Rebelrose907,0,Government peak trailhead,108566349864662943306,1551991852673.0,5.0
positive,0x514a89d0223d0909:0x6af721bdd71163d7,Laura Castleman,0,Muklukland,113130237987231276429,1534960069032.0,5.0
positive,0x5132454899c7e2fd:0x8a858b15da260676,Luisetxe Luisetxe,0,Lavelle's Taphouse,113411028451274589052,1542581171300.0,4.0
positive,0x56eac46570b09b47:0x314ca5119a3a3f17,JOSE JESUS PEREZ,0,McDonald's,112812216365097239038,1581637691234.0,5.0
negative,0x56c8de190b8fc519:0x48dcbfe7b6f75e7c,Jason Williams,0,Zushi,111140809769657301744,1533956807231.0,1.0
positive,0x56c89a04f821661f:0xa18c6267f53e05ea,Kerry Hall,0,Alaska Zoo,105734115651076750010,1566081714083.0,5.0
positive,0x512171dd0621b329:0x5d845d021e7ae8e0,Jed Dee,0,Kavik River Camp,104246235754502810436,1481849052305.0,5.0
positive,0x56c897ad6cd51c9f:0x437b84cbe452f543,Ilse Yado de Choate,0,Burger Cache,109464014409475782545,1549944563980.0,5.0
positive,0x56c79c77cec18959:0xd1f63fa5c775763d,Elizabeth Meliah,0,Breeze Inn,113704721260136505890,1604210593849.0,5.0
positive,0x5400e03eb889e91b:0x2b49e4d0e1926eca,Rick Lopez (cheech -Pops),0,Western Auto Marine,102699050184742377964,1563216703348.0,5.0
positive,0x56c89629ce9d98a1:0xba2c11504739314c,Nichole Toledo,0,Avenue Bar,100507006538238281278,1531526251164.0,5.0
positive,0x56c8e0770cb3127f:0xd6511eb4b44d4930,Joseph R,0,Little Miller's Ice Cream,109621545796063547997,1592845498943.0,5.0
positive,0x540c2504ae00ff51:0x789019b37f2f72c3,Alex Pennino,0,Joe's Screenprinting,113168903909715669913,1525128587057.0,5.0
positive,0x5132500b8b8a0763:0x24341e31cb9b9095,Jason Larson,0,Northland Wood Products,100687331860045449099,1555397216250.0,5.0
positive,0x56c8e9386f1e1d51:0x715efb28e4a02d6,Robert Walker,1,Thunderbird Falls,100433458193860658901,1593968194863.0,5.0
positive,0x5400df867a7862f1:0xf6b544a6c7c0d379,AlexP Su,0,Coppa,103331270735393175501,1568934863189.0,5.0
positive,0x56c132750d9248ab:0x7f099ef9f1166f2e,Jim Griffith,0,Duncan House Diner,106716958089455919099,1543887198096.0,4.0
positive,0x56c8e1cb7a504b81:0x24d3eaad3d54b6c4,Racheal Bates,0,Three Bears Alaska,109599808054758752248,1554611163226.0,5.0
neutral,0x56c89702e5c53a89:0x1ecf5963fbc62b69,Phillip and Jasmine Boyle,0,SpringHill Suites by Marriott Anchorage University Lake,100424925451241914563,1529941403368.0,3.0
positive,0x51324544837eafe1:0x8d1b74d6180e2394,William Gallion,0,A K buffet,110278378308814123724,1484524312201.0,5.0
positive,0x51325ab66f9ceaaf:0xc9e6aa927fb77297,Angela Showalter,0,Interior Women's Health,107156999792382982535,1596817423382.0,5.0
neutral,0x56c8965ee2fb87a1:0x559736347bd48842,Chris Jones,0,Costco Wholesale,112599320766947071055,1572843444569.0,3.0
positive,0x56c8e35170d27cb7:0x7aff03f087a21307,Robert Műller,0,Alpine Historical Park,113633386037650143344,1563684949483.0,5.0
positive,0x56c8de6b7fdaa721:0xd99401a210dad6e5,Angela Randall,0,Donut King,104306867162173379162,1581883376172.0,5.0
positive,0x56c897072c6b9f7b:0xffb23548da094b6b,Bob Flint,0,Alaska Center for Dermatology,116876795195756795272,1602006886815.0,5.0
positive,0x56c91def086ed1c9:0x496a36a1fb11f8ac,j gerton,0,"Matanuska Brewery and Tap Room, Palmer",103749664067672565427,1537591765814.0,5.0
negative,0x56c8de0d63860a93:0x7b70aad14292d57f,Tim Escher,0,Batteries Plus Bulbs,109316437113432107638,1371929972771.0,2.0
positive,0x513246f13804ba29:0xea6374dc96612a2b,Kaylynn Balcom,0,Turtle Club,111899984046136724633,1610325317884.0,5.0
negative,0x56c896295313a201:0xbbe3d39303a0ad53,Tiffani Rust,0,Extended Stay America - Anchorage - Downtown,116550294103455416011,1568671774564.0,1.0
positive,0x5133a05aced7670f:0x2b6ac4576f7df4d1,Cristhian Mora,0,Salchaket Road House,111562017395862290741,1529260215533.0,5.0
positive,0x56c897851507f221:0xc369e5120735d055,J T,0,Quality Transmission Service,118236873308208229241,1530042048083.0,5.0
positive,0x56c89995ecced143:0x1301b4eb5773a681,Jacob Wright,0,South Restaurant + Coffeehouse,100769356539272990721,1585529728187.0,4.0
positive,0x56c8bd8734cc532d:0xbc2ff85e41737968,Janet Stewart,0,Westmark,108951100504418642391,1547674125837.0,4.0
positive,0x56c8de18e77e1ebb:0x1d0381ed52f5ca59,Carl Russell,0,Hacienda Mexican Restaurant,100638574531726232490,1604626081227.0,5.0
positive,0x51325ad22db708a3:0x5841de2b605b905c,Andy Chuang,0,Pioneer Park,117796849563211483818,1550968855567.0,5.0
positive,0x56c897cfde9f2ce9:0x4432a5f99861e1c4,Mark Kellam,0,Tofu House Restaurant,117267538218477892990,1557982764253.0,5.0
negative,0x56c89629bde7481f:0x7e8a9413ab25d5d,Alba Infante,0,Anchorage 5th Avenue Mall,117926670970861314362,1503431226543.0,2.0
positive,0x56c897d98cbac979:0x8e2ca5fde82d5f7b,Walter O'Hayer,0,Ray's Place,107601446283273776950,1568925767712.0,5.0
positive,0x56c896924ca9b6d1:0xc5cc1762d5bd00ff,R G,0,Nunaka Valley Park North,117139903986384654361,1571277822833.0,5.0
positive,0x51325b164759ffc3:0xc5a7f8e0fa9c9815,Amanda Hesser,0,Fairbanks Princess Riverside Lodge,116520451520467394233,1507168532452.0,5.0
positive,0x56c7c425f160719f:0xab0fb5cbd41ecdef,Celia Bugno,0,Chugach National Forest,118284561548481626682,1552860949203.0,5.0
positive,0x56c97539e801d9eb:0xb1d01bc611783b2b,이까밀로,0,Glacier Tours,114306325458426379554,1562261705877.0,5.0
positive,0x56c8977dbe005abd:0x43c18641c9640ee3,Renee Burk,0,"Reliable Appliance, LLC",115196546316193142720,1539114598633.0,5.0
positive,0x56c8bd86fd671871:0x52c896e66d960c02,Steven Hanson,0,49th State Brewing - Anchorage,113667335062323087009,1521613748433.0,5.0
positive,0x56c8e8c87b3d33b1:0x604867a2ce0e3eea,B Morgan,0,Mirror Lake,100527986786024997280,1536869848991.0,4.0
positive,0x56c897855d0b357f:0x4e9992a1064d6c5e,krista ross,0,"Alaska Stairlift & Elevator, LLC",106488210902367170867,1543090310309.0,4.0
positive,0x56b57b64d4be52d9:0xd229826eee007bd,Aether Lauti :v,1,HAARP Research Facility,104690912590638692293,1544720657093.0,5.0
neutral,0x5132454c00000001:0xaa6bb22103ceca31,Dotty Harris,0,WIC Program,115344007994442528114,1605371797846.0,3.0
positive,0x5400df85d167367f:0x6e2feae06bbbe176,Tracy Howard,0,AT&T Store,114426454218569437001,1555713266040.0,5.0
positive,0x51325abeb6545aa9:0xf90efd9c86500c6e,Gregg Rady,0,Darby's Performance Machine,100554029930389309625,1505524319552.0,5.0
positive,0x56c8966f15b2c0b3:0x8bde09538acac40a,Kornthida Sittithamsakul,0,Mountain View Red Apple,116367532846140911856,1545003403724.0,4.0
positive,0x56c897c81c27a063:0x345caa7cf3c4e96c,Jenny Clay,0,Cafe Amsterdam,109178136888208780329,1578802122883.0,5.0
neutral,0x56c8968ce433b2e1:0x11dafccb3939f897,Kristopher Verrett,0,Smokehouse BBQ,113634757128893180730,1554128992464.0,3.0
positive,0x56c91dfa62759de9:0x9854549280732746,Elizabeth Maxson,0,Matanuska River Park AK,108745855385030186584,1530588113759.0,4.0
positive,0x56c89629bde7481f:0xcb2b4e93454f0c75,Mark Pollock,0,Sullivan's Steakhouse,107463423029827561756,1558624987946.0,4.0
positive,0x56c899c44c07dc4d:0xa267e6abf4b97c82,Tony Reynolds,0,Lyberger's Car & Truck Sales,102248193297946599539,1559101845068.0,5.0
neutral,0x5132454fcf3bfbcf:0xe27508b5bb177697,ALEX B.,0,Clarion Hotel & Suites Fairbanks Near Ft. Wainwright,113774483651616317304,1542005254525.0,3.0
positive,0x540c25042cc53e11:0x8f365e1d3ad2ad16,Marin Blažević,0,Totem Bar,117770234012117807472,1569470129651.0,5.0
neutral,0x56c8e1cb7a504b81:0x24d3eaad3d54b6c4,Miranda Johnson,0,Three Bears Alaska,101352039282967593675,1501191126924.0,3.0
positive,0x5132450fd07261b9:0x4227272ee8741d21,melody smith,0,Friends of Creamers Field at Creamer's Field Migratory Waterfowl Refuge,113078436971937153987,1527888417416.0,5.0
positive,0x5133d8acb8f60ccb:0x3b69840ff86f3f06,Lynda North,0,Chena Hot Springs Resort,109691120663271904623,1493472252655.0,5.0
negative,0x56c8965ee2fb87a1:0x559736347bd48842,Marissa Demmert,0,Costco Wholesale,115539614975105007261,1579918767794.0,1.0
positive,0x56c8945c4bf55851:0x606388a502c81042,Saraya Lynn,0,Burger King,108572749292834093729,1529120698823.0,5.0
positive,0x56c8bd8731c7b5ed:0x8675b8501273b9e2,Suely CM,0,Orso,104247836273996467152,1565721194461.0,5.0
negative,0x56c897c63697ee39:0x419904ababbc740b,Brittany Tripp,0,Walmart Supercenter,103556278113070824001,1590034516770.0,1.0
positive,0x56c67b60fff4ea9f:0x32e830ecd92f0fd2,Ronn Kess,0,The Home Depot,108278039102429812109,1603516548176.0,5.0
negative,0x56c67c9a8fa60301:0x1e4dd7c54449ee4,Christina S,0,Burger Bus,102888746723260354124,1533912632044.0,1.0
positive,0x56c897dc62278707:0x256bd4bbb9cadc54,Don Alspach,0,Kay’s Family restaurant,107706147157500583357,1493252797483.0,4.0
positive,0x51325b720652fe6d:0xb549c85f1b4a257b,John Pile,0,The Pump House Restaurant Fairbanks,105061907168381127912,1593241839625.0,5.0
positive,0x54010304808eb99b:0x822af834f3f1722b,Timothy Kinnaman,0,Tongass National Forest,116386677334306015554,1534196998347.0,5.0
positive,0x540c2502d8beb2e3:0xea24818dbed53557,daniel meeks,0,Totem Heritage Center,108721342782251163220,1570166583261.0,5.0
positive,0x56c897ad433abe81:0x2df81a3acfaff8f8,Chris S,0,Medical Park Family Care,113325735407290753385,1578372808920.0,5.0
positive,0x56c6615d8cfff8fd:0xefeac1531e40fdb8,Kristen Donchess,0,Fred Meyer,105552624604338527210,1596912842242.0,4.0
positive,0x43ebd9c228c7f50b:0xd2a0ec3e0b1f18c0,Jessica Bethers,0,Zen Asian Fusion Cuisine,100533909766634833969,1518327363860.0,5.0
positive,0x5132d572e8d8b4b5:0xfd5a14a9ec6fb1fc,Ryan Khor,0,Denali Totem Inn,113897514918249906458,1570065307402.0,4.0
positive,0x56c8e0bdd0717e83:0xb02a9240487d455d,Nancy Williams,0,Walmart Supercenter,103017144051111898511,1530758245848.0,4.0
positive,0x51325c567d83e615:0x2cfe20e4f32ee54d,Alaskan Builds,0,Golden Eagle Saloon,102232647362068909591,1591424367616.0,5.0
positive,0x56c12dbc68783771:0xd57452ee17ed0f58,Lucas Alonso,0,Smokey Bay Air,116347274508773329239,1618349162051.0,5.0
positive,0x54001f79fcfa166d:0xd098513b35c2494b,Muammar AL kahfi,0,Big Al's Salmon Shack,115713959924116831967,1567079662573.0,5.0
positive,0x56b58f7f0226d5c9:0xb8dc312910ed4503,Tyson Oseth,0,Ernesto's Mobile Grill,107845955956989341965,1554027700400.0,4.0
negative,0x56c897bd0c9dc7e1:0x48db4e91ca61d150,April Ramsey,0,Lithia Kia of Anchorage,105374461601307308790,1549061433722.0,2.0
positive,0x56c897b96607a6c5:0xefdb8b865926d2a4,Myra Liwanag,0,New Sagaya Midtown Market,107683310616549433788,1564116894400.0,5.0
positive,0x56c897da832a667f:0xe9f90fb9baa92164,Bernard Sullivan,0,Arctic Roadrunner,115869285583606140885,1534058737378.0,5.0
positive,0x51325ab667dfd657:0xa36e4c2d6dba13ae,James Smith,0,Big Dipper Ice Arena,110641051324316229240,1547363560023.0,5.0
positive,0x540c250448a84aef:0x6bec2dccce5c39c6,Desmond Vasquez,0,Coliseum Twin Theatre,103878590123605401626,1539494314680.0,5.0
positive,0x513245485def9c7d:0x69deda8842a0f02,Abhijeet N,0,Lavelle's Bistro,103660356087851989813,1544798463486.0,5.0
negative,0x56c8de6ccc8bc621:0x65b49862ec7f1b79,JOEY LOFTUS,0,Sicily's Pizza Wasilla,116135042944851568124,1441313485664.0,1.0
positive,0x56c89791454471ad:0x7e19ffc8d4ffbba9,WP,0,Fairfield Inn & Suites by Marriott Anchorage Midtown,unknown,1518480000000.0,-999.0
positive,0x56c8e0a1830b7d55:0x61791e7c2a428701,Stephen,0,Lowe's Home Improvement,108688994474638240784,1582849042842.0,5.0
positive,0x56c899d66c4065ef:0x75d86a8596bb8022,Nan Gearhart,0,American Tire & Auto,110678686594036225674,1577488736585.0,4.0
positive,0x56c897089a12db6b:0x6fd02bc0769f0419,Einstein Schwartz Tabbilos,0,Yakitori Sushi House,116630153798447070360,1539475828006.0,5.0
positive,0x56c79c77ec7bba4d:0x73b2548b9a980845,Walden Walden,0,Kenai Fjords Tours,105711311976094310918,1548417883220.0,5.0
positive,0x5400df8415efe82d:0x18d052d955a782c,Luke Cuenco,0,Sandpiper Cafe,105654961109567455695,1514055871457.0,5.0
positive,0x56c8bd873a14d705:0xb20de557efbdad49,Sierra Wojcik,0,Darwin's Theory,101719939323485032258,1470545716744.0,5.0
positive,0x56c898328bc1d3cb:0xf88edd986086b065,Ashleigh Lutz,0,Village Inn,104874066486252968382,1573803389715.0,4.0
negative,0x51324548cb101807:0x320dc32d6f9e76de,Elizabeth Dupree,0,Aloha BBQ Grill,108999424477178306266,1549655637292.0,2.0
negative,0x56c8966991d39153:0x4f23d1234855a00d,Sahara,0,Baked Alaska Alehouse,116518617563222088990,1471404460711.0,1.0
positive,0x56c8de2773f1d7b5:0xc3a5db60a28a593a,Glenn Marlin,0,AK Chiropractic,110489361874488361379,1596818549717.0,5.0
positive,0x56c897dbb5d39fbb:0x97574496d207b678,Sara Garrison,0,Planet X Vapor & Smoke Shop - ANCHORAGE,112193404638711264841,1558794035124.0,5.0
positive,0x56c89687fee8c1bd:0xfea8563739679f0b,Netsanet Hafebo,0,Good Friends Barbershop,106072807264559416417,1376876813295.0,4.0
positive,0x54010304808eb99b:0x822af834f3f1722b,Alexander Lazarev,0,Tongass National Forest,117086990411786804100,1562428243875.0,4.0
positive,0x56c8962a08c16ce3:0xe1ba3f8e10189e30,Christine A Eagleson,0,Dark Horse Coffee Co,112356252572756939163,1513293093422.0,5.0
neutral,0x56c8de1491b02321:0x81dc0e643e6d454b,Andrew Natekin,0,Diamond Plated Automotive,111338488315900430828,1571782638951.0,3.0
positive,0x56c899d0b13cd6e7:0x1f608daa55116d92,Diane Edge,0,Alaska Smiles,114020800775923751457,1581649004649.0,4.0
positive,0x56c897dc62278707:0x256bd4bbb9cadc54,Hilary Williams,0,Kay’s Family restaurant,112017254482007797983,1418415763402.0,5.0
positive,0x56c8eb757d57abe1:0xa2761e1bb26802dc,Gerald Boone,0,NAPA Auto Parts - Alaskan Auto Inc,108206978579269156385,1568397621492.0,5.0
positive,0x56c8962542cbc033:0x980c387a86282dc7,Melissa Tague,0,Kendall Toyota of Anchorage,104495023396236440569,1576993029857.0,5.0
