sentiment_category,rating_category,gmap_id,business_name,user_id,rating,text,user_name,time
positive,outdoor_atmosphere,,Imam Cagdas,,5,"A great business that does not compromise on its taste; lahmacun, garlic kebab; yoghurt kebab; the smile of the waiters; everything is in place; thank you very much for the nice service and delicious food.",Sinan Ozen,
positive,taste,,Gold Semaver,,5,The breakfast was very good; I recommend it; the presentations were also eye-catching. We paid 240tl for the table you see in the photo; including 6 teas and 2 Turkish coffees.,Tarik Yuce,
positive,outdoor_atmosphere,,Gold Semaver,,4,The place is beautiful. The staff was very nice. We asked for tiramisu. It was very fresh and beautiful.,Yasemin Uzuner,
positive,indoor_atmosphere,,Gold Semaver,,5,Beautiful place. The breakfast is said to be good. I had tea in the evening; it was delicious. It tastes like a samovar. The environment is calm. The music is jazz style; suitable for the calm and soft atmosphere.,Gokhan Efe,
positive,menu,,Gold Semaver,,5,Hookah and ambiance is super!,Bunyamin Engin,
neutral,taste,,Gold Semaver,,3,They have a problem with the service; but if you're going to drink tea; they do it well. Your tea is always hot over the fire.,Mehmet Mercan,
negative,taste,,Gold Semaver,,1,Some of the coffee I wanted came spilled; the coffee tasted dry. Also; my wife's order was wrong.,Hakan Tekelioglu,
positive,outdoor_atmosphere,,Gold Semaver,,4,Great.,Mehrin Kuru,
positive,indoor_atmosphere,,Gold Semaver,,5,Lovely; affordable seafront spot to while away the afternoon smoking nargile and playing backgammon (tavla). Super hospitable employees and enjoyable ambience.,Geordon Omand,
positive,taste,,Gold Semaver,,4,A cheap and delicious place. If you are passing by; you should not continue without having a cup of tea.,ALi Bes,
positive,outdoor_atmosphere,,Gold Semaver,,5,Seaside great view!,Bayram Kale,
positive,menu,,Gold Semaver,,4,Prices are nice,Beril Kendirci,
positive,taste,,Fethiye Dondurmacisi,,5,Bitter; mango; Bodrum tangerine; honey almond; Big Babas; mastic gum; walnut; blackberry and forest fruit definitely recommend..,Yeliz Eker,
positive,indoor_atmosphere,,Fethiye Dondurmacisi,,5,The prices are cheap from the center; the ice cream is legendary; don't miss out; it's worth waiting in line; it's the best ice cream shop in Fethiye. Real milk ice cream,Murat Yesilci,
positive,outdoor_atmosphere,,Fethiye Dondurmacisi,,5,Absolutely perfect come try it..,Arch Ao,
negative,taste,,Fethiye Dondurmacisi,,1,Terrible. This is a lie. This is not ice cream! This gum is an ice cream substitute.,Zloy Grazhdanin,
positive,indoor_atmosphere,,Fethiye Dondurmacisi,,4,As I was crossing the road; I noticed that we stopped. The light ad is very good because everything has ice cream icons. The only normal price I've seen in Fethiye is 6 TL.,Aygun Nurca,
neutral,outdoor_atmosphere,,Fethiye Dondurmacisi,,3,The atmosphere of the place was nice; if you want to taste the ice creams; I can say that it is an ordinary ice cream that you can eat anywhere.,Bekir Tunca,
negative,taste,,Fethiye Dondurmacisi,,2,It literally gave me the feeling of chewing sugar. It's not even about ice cream.,Batuhan Kinik,
positive,taste,,Fethiye Dondurmacisi,,4,We visited with my friends. The lemon one was great!,Semanur Cetin,
positive,outdoor_atmosphere,,Fethiye Dondurmacisi,,5,A great taste. I went on recommendation; it was really true. I also recommend it to you.,Derya Halis,
positive,taste,,Fethiye Dondurmacisi,,5,Their prices are very reasonable and their ice creams are delicious. There is not only ice cream but also dessert sales inside. There are many options for ice cream; which is a very nice detail.,Burak Aydogdu,
positive,outdoor_atmosphere,,Fethiye Dondurmacisi,,4,On the way to the city center of Fethiye; a sweet place caught our attention. The ice cream cone-shaped totem on the road was very original.,Ahmet Oz,
positive,indoor_atmosphere,,My Friends Burger,,4,The hamburger bread was very nice. I didn't like his meatballs very much.Orders are coming out very quickly; and the working friends are very kind; thank you.,Ilknur Guntepe,
positive,outdoor_atmosphere,,My Friends Burger,,4,A place that makes unorthodox burgers in Samsun. The hamburger bread is big and wide with lots of sesame seeds.,Fethi Duhan Calik,
positive,indoor_atmosphere,,My Friends Burger,,5,It's a very nice place; the hamburger is very nice. The staff is very good; there is a children's playground,Gun Oksay,
negative,taste,,My Friends Burger,,2,The place is nice; the waiters work sulkily. The location; service and presentation are beautiful. And his hamburger might be the most mediocre hamburger I've ever had. There is no meat taste in the meatball.,Hatice Isik,
neutral,indoor_atmosphere,,My Friends Burger,,3,Mushroom burger the meat stays thin inside the huge burger bread; and the meat and mushrooms do not stay in the bread because of the sauce applied on the bread.,Olcay Albayrak,
positive,menu,,My Friends Burger,,5,They have really saturated menus. The prices are very good; and as a place with a very nice interior and exterior decor with sea views; I would definitely recommend it at the same time.,Mahzun Zara,
negative,taste,,My Friends Burger,,1,I never liked the service very bad; when we brought the wrong burger and returned it; we had to wait that much longer. The potatoes were terrible; the only onion rings and mushrooms were beautiful. I will never go to this place again.,Gonul Bilir,
neutral,outdoor_atmosphere,,My Friends Burger,,3,The burger is successful; but the service is very slow; I came to the place 2 times; they bring the order incorrectly.,Yunus Ercin,
positive,taste,,My Friends Burger,,5,The menu content is beautifully varied and satisfying.,Nilufer Yilmaz,
negative,taste,,My Friends Burger,,2,The price was not right; I bought a 2-piece menu; the burger and bread did not taste good.,Firat Ismail,
positive,menu,,My Friends Burger,,4,The prices were generally reasonable; the tastes were also good enough.,Ayhan Aydin,
positive,indoor_atmosphere,,Mcdonalds Fethiye,,5,The menus offered by the friendly staff are something else; the flavors we have tasted.,Fatih Altinkaya,
positive,taste,,Mcdonalds Fethiye,,4,"I would like to thank the service in Fethiye branch and especially Mr. Samet; the official here, for his interest and relevance.",Suleyman Keskin,
neutral,outdoor_atmosphere,,Mcdonalds Fethiye,,3,The menu is incomplete; not much; usually a disaster with happy sweet toys; felt-tip pens and a few cardboard coloring pages.,Di Nessa,
positive,menu,,Mcdonalds Fethiye,,4,Taste is exactly the same as in classic hamburgers; prices are extra high.,Ahmet Gedici,
positive,indoor_atmosphere,,Mcdonalds Fethiye,,4,Every time I come to Fethiye; I stop by and fill my stomach with pleasure.,Metmet Sahin,
positive,taste,,Mcdonalds Fethiye,,4,In general; everything was good; but the tables were not collected during the 35-45 minutes I was there. It was messy inside.,Cagla Cemre,
neutral,outdoor_atmosphere,,Mcdonalds Fethiye,,3,The ambiance of the place looks a bit old.,Salih Ural,
positive,taste,,Mcdonalds Fethiye,,5,They are very fast and the food tastes good too.,Hatice Akin,
negative,taste,,Mcdonalds Fethiye,,2,The potatoes were almost dead and tasteless.,Serafettin Ozturk,
negative,outdoor_atmosphere,,Mcdonalds Fethiye,,2,I didn't like the gloomy; dark atmosphere of the environment; the toilets are dirty; you are disgusted to wash your hands.,Kivanc Kulaksizoglu,
negative,menu,,Mcdonalds Fethiye,,1,There was a hair in the fries; disgusting.,Serdar Yıldız,
positive,taste,,Pukka Marmaris,,4,In terms of price; it is above Marmaris prices. In other words; there are menus with prices above the average. I was satisfied with almost everything I ate and drank.,Brad Murphy,
positive,indoor_atmosphere,,Pukka Marmaris,,5,It is a place where the food is as amazing as the cocktails. The sole fish was very good. employees are very engaged.,Gursel Vatansever,
neutral,menu,,Pukka Marmaris,,3,"Slagethi all nero was excellent. Beef ribs were always tender enough. Cheek, on the other hand; has preserved its taste even though its collection is a little small. If deterioration was to come; the services were passed and the environment was much expected.",Ozgur Kaya,
positive,outdoor_atmosphere,,Pukka Marmaris,,4,As we were passing on the road; it was pleasing to our eyes and we dived in. It was good overall.,Can Oz,
positive,taste,,Pukka Marmaris,,5,For people living in Marmaris; it is a beautiful place to visit in summer and winter. I recommend you to try liver because they serve it in a way I have never tried before and because of its amazing taste.,Bekir Unsal,
positive,indoor_atmosphere,,Pukka Marmaris,,5,Wonderful place where you can go with your family and have fun; nice place with live music...,Huseyin Koca,
positive,menu,,Pukka Marmaris,,4,Prices were slightly higher than peers.,Taner Gun,
positive,indoor_atmosphere,,Pukka Marmaris,,4,Pukka is a restaurant by the sea where you will have the most beautiful pictures and videos where you can organize a nice organization in Marmaris.,Deniz Tekin,
positive,taste,,Pukka Marmaris,,5,Great concept and very tasty food.,Adem Can,
positive,outdoor_atmosphere,,Pukka Marmaris,,5,Popular place for Winter and Summer; food and drink menu wide enough and delicious.,Selcuk Uras,
positive,menu,,Pukka Marmaris,,4,Delicious. However; prices are as high as Marmaris in general in 2021.,Dogukan Mert,
positive,indoor_atmosphere,,Starbucks Bodrum,,5,The interior design is simple and pleasant; with balconies and upper floors with sea views.,Taner Bayburtlu,
negative,outdoor_atmosphere,,Starbucks Bodrum,,1,"I can say that my worst flat white experience. ""Would you like milk?"" they said. I drank more milk than coffee.",Tugba Bal,
positive,outdoor_atmosphere,,Starbucks Bodrum,,5,A great starbucks branch located in Bodrum center / bazaar / port. It's great because the layout; the environment; the place and the service are very successful.,Ahmet Gelegen,
negative,taste,,Starbucks Bodrum,,2,The place is very narrow; I can say it's the worst starbucks I've ever seen.,Sule Kivrak,
positive,taste,,Starbucks Bodrum,,5,It was a pleasant snack; a refreshing drink in hot weather.,Alparslan Alatur,
positive,indoor_atmosphere,,Starbucks Bodrum,,4,"The view is super, the cleanliness is bad, the location is very good",Tugrul Gul,
positive,outdoor_atmosphere,,Starbucks Bodrum,,5,The place is so sweet. but it gets too crowded in the evenings.,Omer Kavak,
neutral,menu,,Starbucks Bodrum,,3,Familiar coffee that I taste,Arif Kar,
neutral,indoor_atmosphere,,Starbucks Bodrum,,3,Had to stop by for a take out coffee during the morning hours.,Beril Yilmaz,
positive,indoor_atmosphere,,Starbucks Bodrum,,5,Employees are very warm. in a very pleasant location.,Mustafa Parlak,
positive,taste,,Starbucks Bodrum,,4,The employees are very good and caring. Best Starbucks..,Yasemin Catalkaya,
positive,taste,,Churchill Bistro,,5,Here you can find by far the best 4-cheese pizza you can eat in Bodrum. On top of that; you may have reasons to come back again and again with the unusual taste and presentation of the magnolia.,Sena Sarioglu,
positive,outdoor_atmosphere,,Churchill Bistro,,5,A place we found by chance during the winter season. First of all; we sat down to drink coffee and the environment was so spacious and calm that I was able to hold a meeting that I had to do over the web without any problems.,Elif Bengu,
positive,menu,,Churchill Bistro,,4,I have never seen a pizza with such a thin pizza dough that the material did not fall apart. Pizza mista is a great choice for mixed lovers.,Erkan Aka,
positive,indoor_atmosphere,,Churchill Bistro,,4,It is a very nice place to watch the matches; when it is closed in winter.,Baris Demirci,
positive,taste,,Churchill Bistro,,5,A pleasant place with a beach; delicious food,Sibel Sarihan,
positive,menu,,Churchill Bistro,,5,It is a place where you can both enter at home and spend time with pleasure and eat and drink. The beach is very beautiful; your sea is clean. The food is also very good.,Rumeysa Oncel,
negative,outdoor_atmosphere,,Churchill Bistro,,2,It is a business that serves 2 orange juices that are not on the breakfast menu and that I did not order; as if they were on the menu; and charges an extra 40 TL.,Bora Ozkut,
positive,taste,,Churchill Bistro,,5,We sat at the table; 10m away from the water; went for a swim and then came back to our table. They have changing cabins inside; very clean. Tried some cocktails and they were really good; but prices are like in Kos; Greece where we came from.,Bojan Kuruc,
positive,indoor_atmosphere,,Churchill Bistro,,5,It is a restaurant-bar with an extraordinary ambiance. It has an excellent location on Bodrum Beach. The service is top notch and leaves nothing to be desired.,David Kaeser,
positive,outdoor_atmosphere,,Churchill Bistro,,4,Seaside; pleasant place; mediocre food; owners concerned.,Ali Suca,
positive,outdoor_atmosphere,,Churchill Bistro,,5,Beautifully located restaurant on the beach; very nice staff and very good value for money; would gladly come again.,Michael Streich,
neutral,taste,,Leman Kultur,,3,Nice place with a view. Not bad in terms of food but ordinary.,Merve Gun,
positive,indoor_atmosphere,,Leman Kultur,,4,A place where you pay for the view. In general; although the breakfast is good; 80tl per person for two people 160tl is a bit high.,Meryem Kirac,
neutral,menu,,Leman Kultur,,3,It has a location by the sea; a layout that allows for indoor and outdoor seating. Their waiters are nervous and sometimes indifferent.,Alper Ates,
positive,outdoor_atmosphere,,Leman Kultur,,5,It was very nice that the food was delicious; the place was facing the beauty of Alanya Castle and especially all the staff were interested.,Yilmaz Yilmaz,
positive,indoor_atmosphere,,Leman Kultur,,4,Good salep was good; the employees were smiling..,Emine Korkmaz,
neutral,taste,,Leman Kultur,,3,Food was tasteless. The waiters were not smiling at all.,Mesut Dursun,
negative,menu,,Leman Kultur,,2,We wanted mint lemonade; they put mint syrup in the lemonade; when we asked; they said that's what we do; but if you don't like it; we'll change it and they changed it.,Mehmet Sahin,
positive,indoor_atmosphere,,Leman Kultur,,5,A large spacious place. If you want; you can relax inside and have something to drink.,Ozer Celik,
positive,taste,,Leman Kultur,,5,Location is nice. We love it as a family. Pizza was delicious.,Melis Demir,
positive,outdoor_atmosphere,,Leman Kultur,,5,Stylish; decent and clean place. I advise.,Ufuk Canatan,
positive,indoor_atmosphere,,Leman Kultur,,5,In a beautiful location by the sea; sometimes it gets very crowded; the service can be delayed,Serhat Sutcu,
negative,menu,,Tatbak,,2,I think it came with a change in taste with the price update.,Nisa Akdeniz,
neutral,taste,,Tatbak,,3,It's nice; but it's very late. I place an order; it arrives an hour later; I would be happy if it was a little faster.,Nafican Tatlici,
positive,outdoor_atmosphere,,Tatbak,,4,A delicious doner.,Mehmet Erbagci,
positive,indoor_atmosphere,,Tatbak,,4,the ambiance was nice.,Suleyman Konus,
negative,menu,,Tatbak,,2,Interest was good; but doner was a complete disaster. First of all; it came cold; there was no proper sauce in it; there was so much onion that I could not taste the meat at all.,Ahmet Takir,
positive,taste,,Tatbak,,5,Awesomeee,Mert Cakir,
positive,taste,,Tatbak,,5,"Delicious doner. I went there with my friend, that was she's first. She liked too.",Gokay Baydemir,
positive,menu,,Tatbak,,5,"Nice place, good price; good quality",Unsal Ceylan,
positive,taste,,Tatbak,,4,Delicious!,Leyla Ciftci,
positive,outdoor_atmosphere,,Tatbak,,5,It was one of the best doner I've ever eaten in my life. Thank you very much.,Baran İsci,
negative,indoor_atmosphere,,Tatbak,,1,There were problems with cleaning. Chefs must wear gloves.,İsil Colak,
positive,taste,,Guzel Koy Cafe,,4,The atmosphere is very nice; the flavors are also very good; but the prices are a bit high.,Mehmet Oz,
positive,indoor_atmosphere,,Guzel Koy Cafe,,5,We went for breakfast in the morning; the atmosphere is nice. breakfast items were good and tasty.,Mustafa Coskun,
positive,menu,,Guzel Koy Cafe,,5,The cafe was cheap enough; I ate with my family.,Havva Temiz,
positive,taste,,Guzel Koy Cafe,,5,We ordered breakfast; the table was full. It was truly fascinating. I advise.,Ceyda Cicek,
positive,indoor_atmosphere,,Guzel Koy Cafe,,4,The indoor atmosphere was nice; but I can't say the same for the outdoor,Derin Goktug,
positive,taste,,Guzel Koy Cafe,,5,We were very satisfied from the staff to the meal.,Teslime Toptas,
positive,indoor_atmosphere,,Guzel Koy Cafe,,4,Ambiance was good.,Yigit Oztunc,
positive,taste,,Guzel Koy Cafe,,5,Clean business; I liked it.,Onur Aktas,
negative,indoor_atmosphere,,Guzel Koy Cafe,,1,They didn't care about us when we went.,Serkan Kocyigit,
positive,indoor_atmosphere,,Guzel Koy Cafe,,4,The restaurant is well located and above all it is nicely decorated and clean.,Amede Erard,
positive,taste,,Guzel Koy Cafe,,5,Good quality drinks and food.,Cenk Gurdogan,
positive,outdoor_atmosphere,,Cemo Etliekmek,,4,Good location; no parking problem. The business is a little small. The products are considered good.. I didn't like the Sakarası dessert very much. Meat skewer and knife were not bad. Prices are normal..,Ibrahim Colak,
positive,indoor_atmosphere,,Cemo Etliekmek,,5,Employees are kind. Food is delicious,Ahmet Biricik,
positive,taste,,Cemo Etliekmek,,5,The okra soup was hot and scrumptious to the broth. The meat loaf and tandoori kebab were excellent. We ate in the garden with pleasure in a cool weather.,Hulya Gurbuz,
positive,outdoor_atmosphere,,Cemo Etliekmek,,4,One of my favorite places in Konya in terms of service; hygiene and taste.,Selahattin Ciritci,
positive,indoor_atmosphere,,Cemo Etliekmek,,5,It is one of the rare places where I can taste the Etli Ekmek I ate in my childhood.,Metmet Akyel,
positive,menu,,Cemo Etliekmek,,4,My wife and I liked the meat loaf very well; as the distance between the knives is very good. The downside was that there weren't enough toilets; we waited in line.,Dogan Korkmaz,
negative,outdoor_atmosphere,,Cemo Etliekmek,,2,I had heard that meatloaf was good; but the taste was not that praiseworthy.,Fatih Keresteci,
negative,taste,,Cemo Etliekmek,,2,The food is delicious; but the portions are very small and the prices are so high.,Birsen Elmali,
positive,indoor_atmosphere,,Cemo Etliekmek,,4,Waiters were better than Meram branch. Although the taste of Etliekmek is not very good; you can easily bring your guests from outside the city.,Gulsum Unal,
negative,menu,,Cemo Etliekmek,,1,Prices are high; even for the yogurt we didn't order; we were charged.,Nuri Yilmaz,
negative,taste,,Cemo Etliekmek,,1,Service is very slow. The ayran comes in advance; neither foam remains nor we saw here for the first time that buttermilk is paid.,Abdullah Goresim,
